,PA,SS,SA,SC
dY_range,5.26695935,6.408653199,4.849761905,4.843434889
dX_range,3.221528455,2.367467532,4.348571429,4.141709255
TA,4.665746402,7.246200884,0.272565158,1.001322709
CD,2.43410354,2.844852179,2.335567217,2.515362006
MNND,3.315686622,3.607108572,3.013423415,2.636631048
SDNND,0.438490299,1.639120105,0.847440324,1.979757811
